 ,Angle,Length
1,-174.559667969,0.000038642
2,-174.225674097,0.000083580
3,-172.694240467,0.000036321
4,-172.621464157,0.000130197
5,-173.367485385,0.000040012
6,-175.333141629,0.000046057
7,-173.278970424,0.000278551
8,6.303627756,0.000160991
9,-174.248597910,0.000259379
10,-174.907884876,0.000189385
11,-173.858889383,0.000147289
12,-174.230114942,0.000268145
13,6.228865890,0.000317048
14,-174.025676714,0.000160862
15,-174.488522584,0.000107161
16,-177.113581456,0.000110597
17,-175.522120426,0.000155584
18,-174.780735472,0.000194328
